construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
1+SL,-87,24,-25,Not Applicable,5.5,5,404.23,138.705,126.253,15,106.87,31.5,588.94,187.725,220,347.3,40.012,2.508,2.5,7.089,7.08,0,0,14.86,4.492,13.154,175/60R15,0.569290185,49,12.452,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,25,-24,Not Applicable,7,6.5,500,166.293,154.507,16,130.79,38.7,664,226.688,210,419.534,44.008,2.553,3.024,6.434,8.503,59.166,0,14.42,7.267,12.46,215/60R16,0.576960404,49,11.786,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,24,-26,90,8.5,7.5,600,197.388,185.56,18,167.03,0,789,266.492,180,513.189,51.794,3.506,3,8,8.971,60,30,0,0,0,255/65R18,0.626773036,50,11.828,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
2+0,90,24,-26,90,8.5,7.5,600,197.388,185.56,18,167.03,0,789,266.492,210,513.189,51.794,3.506,3,8,8.971,60,30,0,0,0,255/65R18,0.626773036,50,11.828,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
2+0,90,24,-26,90,8.5,7.5,600,197.388,185.56,18,167.03,0,789,266.492,220,513.189,51.794,3.506,3,8,8.971,60,30,0,0,0,255/65R18,0.626773036,50,11.828,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
1+0,90,25,-24,Not Applicable,7,6.5,500,163.758,154.499,16,130.8,38.7,664,226.715,210,423.123,32.825,2.35,2.887,6.72,7.61,59.233,0,14.5,7.489,12.865,215/60R16,0.5769358,49,9.259,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+SL,87,25,-25,Not Applicable,7,6,478.06,165.463,153.608,15,135.79,121.964,645.96,219.997,180,410.934,33.047,2.998,1.5,9.874,7.469,0,0,16.6,0,6.83,205/65R15,0.61723569,50,11.855,25,18,18,25,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+SL,87,25,-25,Not Applicable,7,6,478.06,165.463,153.608,15,135.79,121.964,645.96,219.997,210,410.934,33.047,2.998,1.5,9.874,7.469,0,0,16.6,0,6.83,205/65R15,0.61723569,50,11.855,25,18,18,25,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+0,90,20,-20,Not Applicable,6.5,6,400,152,136,15,127.2,25,633,210.29,210,408.6072433,35.07576602,2.232497016,3,4.9,6.4,55,0,12.67,5.126987012,11.13078934,195/65R15,0.604878977,40,16,29,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,65
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.947,126.075,15,106.89,31.5,588.96,187.719,180,347.248,28.301,2.508,2,7.1,7.08,0,0,14.37,5.077,12.958,175/60R15,0.569414923,49,11.872,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.947,126.075,15,106.89,31.5,588.96,187.719,210,347.248,28.301,2.508,2,7.1,7.08,0,0,14.37,5.077,12.958,175/60R15,0.569414923,49,11.872,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.947,126.075,15,106.89,31.5,588.96,187.719,220,347.248,28.301,2.508,2,7.1,7.08,0,0,14.37,5.077,12.958,175/60R15,0.569414923,49,11.872,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-23,Not Applicable,4.5,3.5,600,103,91,18,105.4,20,671,133,180,286.6922358,34.20196725,3.036722341,2.5,3.9,3.9,0,0,11.053,5.047799743,11.4054117,135/80R18,0.792481203,48,12,28,16,16,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-23,Not Applicable,4.5,3.5,600,103,91,18,105.4,20,671,133,210,286.6922358,34.20196725,3.036722341,2.5,3.9,3.9,0,0,11.053,5.047799743,11.4054117,135/80R18,0.792481203,48,12,28,16,16,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-23,Not Applicable,4.5,3.5,600,103,91,18,105.4,20,671,133,420,286.6922358,34.20196725,3.036722341,2.5,3.9,3.9,0,0,11.053,5.047799743,11.4054117,135/80R18,0.792481203,48,12,28,16,16,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+0,-90,20,-20,Not Applicable,5.5,4,250,116.863,104.721,14,135.93,24,620.96,172.982,210,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.879,12.408,165/80R14,0.785804303,40,12.142,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,-90,20,-20,Not Applicable,5.5,4,250,116.863,104.721,14,135.93,24,620.96,172.982,240,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.879,12.408,165/80R14,0.785804303,40,12.142,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
2+0,90,24,-26,90,8.5,7.5,800.2,195.567,183.902,18,154.04,15,763,267.993,180,498.464,41.985,3.514,3.233,7.767,8.474,60,50,17.12,7.478,15.804,255/60R18,0.574791133,50,11.665,28,18,18,25,28,1000,NA,NA,1260,28,60
2+0,90,24,-26,90,8.5,7.5,800.2,195.567,183.902,18,154.04,15,763,267.993,210,498.464,41.985,3.514,3.233,7.767,8.474,60,50,17.12,7.478,15.804,255/60R18,0.574791133,50,11.665,28,18,18,25,28,1000,NA,NA,1260,28,60
1+1F,88,25,-25,88,8.5,7,550,184,172,16,168.9,25,741,251,180,496.3091998,53.21253938,3.147425329,1,10.3,8.8,0,0,17.969,7.408809484,16.4893156,245/70R16,0.672908367,50,12,25,18,18,25,25,1500,NA,NA,1260,25,70
1+1F,88,25,-25,88,8.5,7,550,184,172,16,168.9,25,741,251,220,496.3091998,53.21253938,3.147425329,1,10.3,8.8,0,0,17.969,7.408809484,16.4893156,245/70R16,0.672908367,50,12,25,18,18,25,25,1500,NA,NA,1260,25,70
1+1F,88,25,-25,88,8.5,7,550,184,172,16,168.9,25,741,251,230,496.3091998,53.21253938,3.147425329,1,10.3,8.8,0,0,17.969,7.408809484,16.4893156,245/70R16,0.672908367,50,12,25,18,18,25,25,1500,NA,NA,1260,25,70
2+0,87,26,-26,-87,7.5,7,787,186.353,174.307,16,120.84,41.392,643.2,235,230,411.708,31.423,3.001,1,9,7.991,57.823,23.318,17.09,0,6.97,145/80R13,0.514212766,52,12.046,29,16,16,29,29,1500,NA,NA,840,29,80
2+0,90,25,-25,90,8,7,899.85,181.11,169.482,17,119.12,0,668,237.96,250,406.911,46.091,2.599,3.274,5.726,6.987,60,25,0,0,0,215/55R17,0.500588334,50,11.628,28,18,18,30,28,1000,NA,NA,1260,28,55
1+SL,90,24,-24,Not Applicable,5,5,295,123.368,111.599,14,135.68,0,619.96,168.996,200,366.767,26.518,2.602,2.5,7,6.973,0,0,0,0,0,165/80R14,0.802859239,48,11.769,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5,5,295,123.368,111.599,14,135.68,0,619.96,168.996,210,366.767,26.518,2.602,2.5,7,6.973,0,0,0,0,0,165/80R14,0.802859239,48,11.769,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.235,146.611,16,131.13,80.917,661,227.968,180,422.801,32.381,2.492,3.5,6.8,7.48,0,0,15.22,0,5.128,215/60R16,0.57521231,52,11.624,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.235,146.611,16,131.13,80.917,661,227.968,210,422.801,32.381,2.492,3.5,6.8,7.48,0,0,15.22,0,5.128,215/60R16,0.57521231,52,11.624,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,158.235,146.611,16,131.13,80.917,661,227.968,230,422.801,32.381,2.492,3.5,6.8,7.48,0,0,15.22,0,5.128,215/60R16,0.57521231,52,11.624,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
2+0,90,25,-25,90,7.5,7,800.03,179.404,167.743,17,119.72,38.7,669,230,180,404.362,45.812,3.286,2.489,7.6,7.586,60,25,16.04,6.737,13.558,215/55R17,0.520521739,50,11.661,28,18,18,30,28,1000,NA,NA,1260,28,55
2+0,90,25,-25,90,7.5,7,800.03,179.404,167.743,17,119.72,38.7,669,230,210,404.362,45.812,3.286,2.489,7.6,7.586,60,25,16.04,6.737,13.558,215/55R17,0.520521739,50,11.661,28,18,18,30,28,1000,NA,NA,1260,28,55
2+0,90,25,-25,90,7.5,7,800.03,179.404,167.743,17,119.72,38.7,669,230,220,404.362,45.812,3.286,2.489,7.6,7.586,60,25,16.04,6.737,13.558,215/55R17,0.520521739,50,11.661,28,18,18,30,28,1000,NA,NA,1260,28,55
1+0,90,25,-25,Not Applicable,10,9.5,1293.6344,232,220,19,110.14,0,701.2,289.198,230,447.458,18.18,3.561,1.5,7.2,6.63,55,0,0,0,0,275/40R19,0.380846341,50,12,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,40
1+0,90,23,-26,Not Applicable,5.5,5,400,131.772,120.378,14,101.45,29.7,552,179.951,210,331.494,30,1.002,2.111,6.002,6.001,49.038,0,12.93,6.134,13.02,165/60R14,0.56376458,49,11.394,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,25,-25,90,8,7,750,174.508,162.768,17,118.64,30.161,667,237.958,250,407.891,46.23,2.55,3.208,5.792,6.984,60,24.999,14.94,5.901,13.072,215/55R17,0.498575379,50,11.74,28,18,18,30,28,1000,NA,NA,1260,28,55
1+0,-90,23,-25,Not Applicable,5.5,4,250,116.604,104.792,14,136.02,24,620.96,172.985,210,367.435,31.761,3.503,2.5,6.6,6.576,49.997,0,14.21,6.291,13.286,165/80R14,0.786310952,48,11.812,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5.5,5,295,115.424,103.843,14,134.92,123.051,618.46,168.988,180,363.889,26.582,2.649,3,0.021,6.88,0,0,14.91,0,5.718,165/80R14,0.798399886,48,11.581,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5.5,5,295,115.424,103.843,14,134.92,123.051,618.46,168.988,200,363.889,26.582,2.649,3,0.021,6.88,0,0,14.91,0,5.718,165/80R14,0.798399886,48,11.581,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5.5,5,295,115.424,103.843,14,134.92,123.051,618.46,168.988,210,363.889,26.582,2.649,3,0.021,6.88,0,0,14.91,0,5.718,165/80R14,0.798399886,48,11.581,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+0,90,28,-28,Not Applicable,7,6,500,165.292,153.203,16,130.91,65.794,662,226.684,250,416.414,40.695,2.792,2,9.3,3.571,64.959,0,16.37,7.584,11.814,165/80R14,0.577499956,56,12.089,29,16,16,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+SL,90,28,-28,Not Applicable,7,6,450,147.809,133.936,16,118.95,35.1,638,214.977,200,379.535,34.169,3.105,2.8,8,6.987,0,0,15.8,6.134,14.09,195/60R16,0.553315006,56,13.873,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,28,-28,Not Applicable,7,6,450,147.809,133.936,16,118.95,35.1,638,214.977,210,379.535,34.169,3.105,2.8,8,6.987,0,0,15.8,6.134,14.09,195/60R16,0.553315006,56,13.873,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,24,-24,Not Applicable,5.5,5,295,118.203,106.673,14,134.92,156.895,618.46,168.984,180,362.98,26.625,2.845,2.5,0.021,6.974,0,0,14.51,0,5.667,165/80R14,0.798418785,48,11.53,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5.5,5,295,118.203,106.673,14,134.92,156.895,618.46,168.984,200,362.98,26.625,2.845,2.5,0.021,6.974,0,0,14.51,0,5.667,165/80R14,0.798418785,48,11.53,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+0,90,27,-27,Not Applicable,8.5,8,680,190,178.495,18,124.71,69.758,705.6,251.199,250,433.193,23.797,2.155,2,6.7,6.648,52.275,0,14.2,0,9.238,225/55R18,0.496458983,54,11.505,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,55
1+0,90,25,-24,Not Applicable,7,6.5,500,163.927,154.764,16,130.87,0,662,226.71,210,0,33.108,0,3.663,6.539,0,59.233,0,0,0,0,215/60R16,0.577257289,49,9.163,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+SL,90,24,-26,Not Applicable,7.6,6.5,800.63,178.57,166.138,16,116.63,29.958,632.96,227.029,180,392.04,33.827,2.986,2.5,7,6.979,0,0,14.47,6.763,13.796,205/55R16,0.513722916,50,12.432,28,22,22,20,Not Applicable,1000,2x0p3UT,2x0p3UT,840,Not Applicable,55
1+SL,90,24,-26,Not Applicable,7.6,6.5,800.63,178.57,166.138,16,116.63,29.958,632.96,227.029,210,392.04,33.827,2.986,2.5,7,6.979,0,0,14.47,6.763,13.796,205/55R16,0.513722916,50,12.432,28,22,22,20,Not Applicable,1000,2x0p3UT,2x0p3UT,840,Not Applicable,55
1+SL,90,24,-26,Not Applicable,7.6,6.5,800.63,178.57,166.138,16,116.63,29.958,632.96,227.029,230,392.04,33.827,2.986,2.5,7,6.979,0,0,14.47,6.763,13.796,205/55R16,0.513722916,50,12.432,28,22,22,20,Not Applicable,1000,2x0p3UT,2x0p3UT,840,Not Applicable,55
1+SL,90,24,-26,Not Applicable,7.6,6.5,800.63,178.57,166.138,16,116.63,29.958,632.96,227.029,240,392.04,33.827,2.986,2.5,7,6.979,0,0,14.47,6.763,13.796,205/55R16,0.513722916,50,12.432,28,22,22,20,Not Applicable,1000,2x0p3UT,2x0p3UT,840,Not Applicable,55
2+0,90,26,-26,90,8,7.5,823,193,181,18,101.32,20,657,233.982,220,369.879,27.988,1.646,1.6,7.8,7.379,42.244,21.83,16.94,7.206,15.77,225/45R18,0.432212734,52,12,29,18,18,25,29,1500,NA,NA,1260,29,45
2+0,90,26,-26,90,8,7.5,823,193,181,18,101.32,20,657,233.982,230,369.879,27.988,1.646,1.6,7.8,7.379,42.244,21.83,16.94,7.206,15.77,225/45R18,0.432212734,52,12,29,18,18,25,29,1500,NA,NA,1260,29,45
1+0,90,26,-24,Not Applicable,6,5,287.3,129.506,117.649,13,109.6,129.892,542.96,183.999,180,328.812,32.501,2.999,1.5,9.5,7.976,49,0,16.47,0,5.879,165/65R13,0.595655411,50,11.857,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+0,90,26,-24,Not Applicable,6,5,287.3,129.506,117.649,13,109.6,129.892,542.96,183.999,210,328.812,32.501,2.999,1.5,9.5,7.976,49,0,16.47,0,5.879,165/65R13,0.595655411,50,11.857,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+SL,90,26,-28,Not Applicable,7,6,450,147.502,133.846,16,118.95,35.1,638,214.977,200,379.958,34.168,3.105,2.5,8,6.987,0,0,15.5,5.46,13.642,195/60R16,0.553315006,54,13.656,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,26,-28,Not Applicable,7,6,450,147.502,133.846,16,118.95,35.1,638,214.977,210,379.958,34.168,3.105,2.5,8,6.987,0,0,15.5,5.46,13.642,195/60R16,0.553315006,54,13.656,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,26,-24,Not Applicable,6.5,5.5,300,146.068,134.355,15,122.68,0,619.94,201.998,180,0,33.69,0,2.5,0.026,7.957,0,0,0,0,0,185/65R15,0.607332746,50,11.713,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+SL,90,26,-24,Not Applicable,6.5,5.5,300,146.068,134.355,15,122.68,0,619.94,201.998,210,0,33.69,0,2.5,0.026,7.957,0,0,0,0,0,185/65R15,0.607332746,50,11.713,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+0,90,26,-26,Not Applicable,5.5,5,394.13,117.879,105.906,14,118.31,29.7,585.9,174.985,210,342.605,34.05,2.594,3.476,6.98,6.918,54.049,0,15.59,7.119,13.292,165/70R14,0.676115096,52,11.973,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,70
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.014,624.46,196.993,180,354.183,33.905,3.015,2,7,6.973,45,33.905,15.29,6.961,14.19,185/60R16,0.572558416,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.014,624.46,196.993,210,354.183,33.905,3.015,2,7,6.973,45,33.905,15.29,6.961,14.19,185/60R16,0.572558416,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.014,624.46,196.993,220,354.183,33.905,3.015,2,7,6.973,45,33.905,15.29,6.961,14.19,185/60R16,0.572558416,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,22,-24,90,7.5,7,400,181.306,169.49,17,117.43,57.713,666,238.999,220,406.284,40.982,1.772,3.407,6.367,6.258,59.286,29.563,15.25,0,8.463,215/55R17,0.491340968,46,11.816,28,18,18,28,28,1000,NA,NA,1260,28,55
2+0,90,28,-28,90,6.5,6,700,155.485,143.813,16,136.56,96.667,671.98,212.086,180,415.457,52.114,3.526,2.8,0.013,7.384,70,70,16.04,0,6.582,205/65R16,0.643889743,56,11.672,28,18,18,30,28,1000,NA,NA,1260,28,65
2+0,90,28,-28,90,6.5,6,700,155.485,143.813,16,136.56,96.667,671.98,212.086,210,415.457,52.114,3.526,2.8,0.013,7.384,70,70,16.04,0,6.582,205/65R16,0.643889743,56,11.672,28,18,18,30,28,1000,NA,NA,1260,28,65
2+0,90,28,-28,90,6.5,6,700,155.485,143.813,16,136.56,96.667,671.98,212.086,230,415.457,52.114,3.526,2.8,0.013,7.384,70,70,16.04,0,6.582,205/65R16,0.643889743,56,11.672,28,18,18,30,28,1000,NA,NA,1260,28,65
1+0,90,26,-26,Not Applicable,5.5,5,383.56,117.852,105.879,14,118.42,29.7,585.94,174.984,210,343.633,34.05,2.593,2.775,7,6.918,54.049,0,14.91,6.683,12.924,165/70R14,0.676747588,52,11.973,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,70
1+0,90,26,-26,Not Applicable,5.5,5,383.56,117.852,105.879,14,118.42,29.7,585.94,174.984,250,343.633,34.05,2.593,2.775,7,6.918,54.049,0,14.91,6.683,12.924,165/70R14,0.676747588,52,11.973,29,18,18,20,Not Applicable,1500,NA,NA,840,Not Applicable,70
1+SL,90,26,-26,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,200,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,52,11.253,28,22,18,20,Not Applicable,1000,2x0p3HT,NA,840,Not Applicable,80
1+SL,90,26,-26,Not Applicable,5.5,5,400,122.778,111.525,14,134.6,0,617.96,169.988,210,365.309,25.174,2.7,0.66,9.428,6.949,0,0,0,0,0,165/80R14,0.791820599,52,11.253,28,22,18,20,Not Applicable,1000,2x0p3HT,NA,840,Not Applicable,80
2+0,-89,24,-25,-89,5.5,5,400,134.421,122.198,15,107.09,51.371,588.96,183.74,210,339.462,33.824,3.499,2,7,6.98,56.921,25.417,15.2,6.946,11.882,175/60R15,0.58283444,49,12.223,28,18,18,20,28,1000,NA,NA,840,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.044,624.46,196.996,180,354.183,33.905,3.013,2,7,6.973,45,33.905,15.29,6.965,14.208,185/60R16,0.572549696,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.044,624.46,196.996,210,354.183,33.905,3.013,2,7,6.973,45,33.905,15.29,6.965,14.208,185/60R16,0.572549696,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
2+0,90,25,-23,90,6.5,6,420,145.397,133.626,16,112.79,24.044,624.46,196.996,220,354.183,33.905,3.013,2,7,6.973,45,33.905,15.29,6.965,14.208,185/60R16,0.572549696,48,11.771,28,18,18,30,28,1000,NA,NA,1260,28,60
1+SL,-87,26,-28,Not Applicable,6.96,6,450,148.01,135.662,16,119.32,35.1,638,214.965,180,381.589,32.519,2.232,2.637,7.4,6.856,0,0,14.23,5.686,13.454,195/60R16,0.555067104,54,12.348,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,26,-28,Not Applicable,6.96,6,450,148.01,135.662,16,119.32,35.1,638,214.965,200,381.589,32.519,2.232,2.637,7.4,6.856,0,0,14.23,5.686,13.454,195/60R16,0.555067104,54,12.348,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-23,Not Applicable,4.3,3.5,600,103,91,18,104.4,20,669,137,180,294.6266606,33.08463267,3.036115011,2.5,3.9,3.9,0,0,10.693,5.466511908,11.20089329,135/80R18,0.762043796,48,12,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-23,Not Applicable,4.3,3.5,600,103,91,18,104.4,20,669,137,210,294.6266606,33.08463267,3.036115011,2.5,3.9,3.9,0,0,10.693,5.466511908,11.20089329,135/80R18,0.762043796,48,12,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-23,Not Applicable,4.3,3.5,600,103,91,18,104.4,20,669,137,420,294.6266606,33.08463267,3.036115011,2.5,3.9,3.9,0,0,10.693,5.466511908,11.20089329,135/80R18,0.762043796,48,12,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+0,90,25,-25,Not Applicable,10,9.5,1030.01,236.03604,223.859,19,110.14,25,701.2,289.198,230,447.819,18.18,3.516,1,7.7,6.618,55,0,14.11,4.864,12.24,275/40R19,0.380846341,50,12.404,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,40
1+0,90,25,-25,Not Applicable,10,9.5,1030.01,236.03604,223.859,19,110.14,25,701.2,289.198,250,447.819,18.18,3.516,1,7.7,6.618,55,0,14.11,4.864,12.24,275/40R19,0.380846341,50,12.404,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,40
1+SL,90,24,-26,Not Applicable,7.6,6.5,800,180.054,168,16,116.67,30,632.96,227.016,180,394.108,33.955,3.392,2.497,7,6.984,0,0,14.58,4.413,11.511,205/55R16,0.513928534,50,12.054,29,22,22,20,Not Applicable,1500,2x0p3UT,2x0p3UT,840,Not Applicable,55
1+SL,90,24,-26,Not Applicable,7.6,6.5,800,180.054,168,16,116.67,30,632.96,227.016,210,394.108,33.955,3.392,2.497,7,6.984,0,0,14.58,4.413,11.511,205/55R16,0.513928534,50,12.054,29,22,22,20,Not Applicable,1500,2x0p3UT,2x0p3UT,840,Not Applicable,55
1+SL,90,24,-26,Not Applicable,7.6,6.5,800,180.054,168,16,116.67,30,632.96,227.016,230,394.108,33.955,3.392,2.497,7,6.984,0,0,14.58,4.413,11.511,205/55R16,0.513928534,50,12.054,29,22,22,20,Not Applicable,1500,2x0p3UT,2x0p3UT,840,Not Applicable,55
2+0,90,26,-28,90,7.5,7,500,186.066,174,17,119.76,38.7,669,229.997,180,395.609,44.214,2.511,3,7.1,7.513,64.595,54.553,15.93,7.439,15.497,215/55R17,0.520702444,54,12.066,28,18,18,28,28,1000,NA,NA,1260,28,55
1+0,90,25,-24,Not Applicable,7,6.5,500,161.819,154.291,16,130.7,38.7,662,226.693,210,417.987,43.903,2.436,3.701,6.312,7.877,59.151,0,14.74,7.128,13.41,215/60R16,0.576550665,49,7.528,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,22,-22,Not Applicable,7,6.5,640,169.423,157.289,17,127.77,51.81,685.8,224.794,210,419.382,44,2.233,2.5,6.73,7.096,55,0,14.22,0,7.653,215/60R17,0.568387057,44,12.134,25,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,60
1+0,90,22,-22,Not Applicable,7,6.5,640,169.423,157.289,17,127.77,51.81,685.8,224.794,240,419.382,44,2.233,2.5,6.73,7.096,55,0,14.22,0,7.653,215/60R17,0.568387057,44,12.134,25,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,60
1+0,90,25,-24,Not Applicable,7,6.5,500,161.82,152.558,16,130.78,38.7,662,226.691,210,425.832,32.458,3.038,2.93,6.778,4.762,66.408,0,14.77,7.74,12.218,215/60R16,0.576908655,49,9.262,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,23,-24,Not Applicable,7,6.5,500,168.371,157.029,16,131.27,38.691,662,226.719,210,421.975,31.168,2.513,3,7.4,7.888,59.998,0,15.27,6.79,14.294,215/60R16,0.578998672,47,11.342,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,22,-20,90,7,6.5,400,166.438,159.777,15,163.52,0,702,219,180,464.423,44.421,2.147,3.285,7.725,8.378,63.544,44.392,0,0,0,215/75R15,0.746666667,42,6.661,29,18,18,30,29,1500,NA,NA,1260,29,75
2+0,90,22,-20,90,7,6.5,400,166.438,159.777,15,163.52,0,702,219,210,464.423,44.421,2.147,3.285,7.725,8.378,63.544,44.392,0,0,0,215/75R15,0.746666667,42,6.661,29,18,18,30,29,1500,NA,NA,1260,29,75
2+0,90,24,-26,90,8.5,7.5,600,187.465,175.13,18,166.98,20,788,269.989,180,519.085,48.024,3.297,4.164,7.034,9.679,60.019,32.166,18.1,9.696,18.376,255/65R18,0.618469641,50,12.335,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
2+0,90,24,-26,90,8.5,7.5,600,187.465,175.13,18,166.98,20,788,269.989,210,519.085,48.024,3.297,4.164,7.034,9.679,60.019,32.166,18.1,9.696,18.376,255/65R18,0.618469641,50,12.335,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
2+0,90,24,-26,90,8.5,7.5,600,187.465,175.13,18,166.98,20,788,269.989,220,519.085,48.024,3.297,4.164,7.034,9.679,60.019,32.166,18.1,9.696,18.376,255/65R18,0.618469641,50,12.335,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,65
