construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
1+0,-90,23,-25,Not Applicable,5.5,4,250,116.863,104.721,14,135.93,24,620.96,172.982,210,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.879,12.408,165/80R14,0.785804303,48,12.142,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,-90,23,-25,Not Applicable,5.5,4,250,116.863,104.721,14,135.93,24,620.96,172.982,240,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.879,12.408,165/80R14,0.785804303,48,12.142,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+SL,87,26,-26,Not Applicable,9,8,700,200,188,19,106.2,20,698,257,180,400.7173604,35.62709694,2.500471957,1.5,8,7,0,0,14.576,7.922903494,14.14837409,245/45R19,0.413229572,52,12,28,22,22,25,Not Applicable,1000,2x0p3HT,2x0p3HT,1260,Not Applicable,45
1+SL,87,26,-26,Not Applicable,9,8,700,200,188,19,106.2,20,698,257,210,400.7173604,35.62709694,2.500471957,1.5,8,7,0,0,14.576,7.922903494,14.14837409,245/45R19,0.413229572,52,12,28,22,22,25,Not Applicable,1000,2x0p3HT,2x0p3HT,1260,Not Applicable,45
2+0,-90,27,-27,90,8,7.5,661.71,183.666,171.029,17,125.42,28,680.2,246.998,180,433.873,40.965,2.426,2.873,7.3,7.23,60.148,24.438,16.61,5.038,14.01,225/55R17,0.507777391,54,12.637,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,27,-27,90,8,7.5,661.71,183.666,171.029,17,125.42,28,680.2,246.998,210,433.873,40.965,2.426,2.873,7.3,7.23,60.148,24.438,16.61,5.038,14.01,225/55R17,0.507777391,54,12.637,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,27,-27,90,8,7.5,661.71,183.666,171.029,17,125.42,28,680.2,246.998,250,433.873,40.965,2.426,2.873,7.3,7.23,60.148,24.438,16.61,5.038,14.01,225/55R17,0.507777391,54,12.637,28,18,18,25,28,1000,NA,NA,1260,28,55
1+SL,-86,25,-24,Not Applicable,7,6.5,500,162.564,153.023,16,130.88,61.6,662,226.712,210,418.884,43.902,2.574,3.761,6.303,7.725,0,0,14.65,0,6.144,215/60R16,0.577296305,49,9.541,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,23,-23,90,8,7,750,169.595,157.824,17,118.73,29.98,666.98,237.992,210,407.748,38.656,3.491,1.902,7,6.993,51,38.746,14.75,6.066,12.805,215/55R17,0.498882315,46,11.771,28,22,22,20,28,1000,2x0p3HT,2x0p3HT,840,28,55
2+0,90,23,-23,90,8,7,750,169.595,157.824,17,118.73,29.98,666.98,237.992,250,407.748,38.656,3.491,1.902,7,6.993,51,38.746,14.75,6.066,12.805,215/55R17,0.498882315,46,11.771,28,22,22,20,28,1000,2x0p3HT,2x0p3HT,840,28,55
2+0,-90,27,-27,90,8.5,8,680,186.165,174.119,18,125.42,30,705.6,251.2,220,431.945,39.12,2.507,2,6.9,7.045,60.139,19.916,16.03,5.487,13.767,225/55R18,0.499283439,54,12.046,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,27,-27,90,8.5,8,680,186.165,174.119,18,125.42,30,705.6,251.2,250,431.945,39.12,2.507,2,6.9,7.045,60.139,19.916,16.03,5.487,13.767,225/55R18,0.499283439,54,12.046,28,18,18,25,28,1000,NA,NA,1260,28,55
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,180,347.244,28.301,2.509,2.5,7.1,3.749,0,0,14.87,5.067,12.928,175/60R15,0.569311414,49,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,210,347.244,28.301,2.509,2.5,7.1,3.749,0,0,14.87,5.067,12.928,175/60R15,0.569311414,49,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,-87,24,-25,Not Applicable,5.5,5,400,137.954,126.221,15,106.87,31.5,588.96,187.718,220,347.244,28.301,2.509,2.5,7.1,3.749,0,0,14.87,5.067,12.928,175/60R15,0.569311414,49,11.733,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,90,26,-24,Not Applicable,5,4,350,112.715,104.843,12,104.72,26.107,507.98,156.997,180,301.118,32.633,3.057,1.5,9.5,5.911,50,0,16.65,6.869,14.657,145/70R12,0.667019115,50,7.872,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,70
1+0,90,26,-24,Not Applicable,5,4,350,112.715,104.843,12,104.72,26.107,507.98,156.997,210,301.118,32.633,3.057,1.5,9.5,5.911,50,0,16.65,6.869,14.657,145/70R12,0.667019115,50,7.872,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,70
1+0,90,27,-27,Not Applicable,8.5,8,800,193.766,181.871,18,124.64,58.829,705,249.989,250,434.617,48.357,2.415,2.5,6.2,6.616,65,0,14.07,0,5.457,225/55R18,0.498581938,54,11.895,26,22,22,22,Not Applicable,2000,2x0p3HT,2x0p3HT,1500,Not Applicable,55
1+SL,90,26,-28,Not Applicable,7,6,450,147.809,133.936,16,118.95,35.1,638,214.977,200,379.535,34.169,3.105,2.8,8,6.987,0,0,15.8,6.134,14.09,195/60R16,0.553315006,54,13.873,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,26,-28,Not Applicable,7,6,450,147.809,133.936,16,118.95,35.1,638,214.977,210,379.535,34.169,3.105,2.8,8,6.987,0,0,15.8,6.134,14.09,195/60R16,0.553315006,54,13.873,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,24,-24,Not Applicable,5.5,5,295,116.758,104.764,14,134.92,98.117,618.46,168.987,180,363.674,26.595,2.656,2.5,0.021,6.974,0,0,14.51,0,6.065,165/80R14,0.798404611,48,11.994,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+0,90,28,-18,Not Applicable,7,6,500,165.292,153.203,16,130.91,69.937,662,226.684,210,416.414,40.695,2.79,2,9.3,8.277,64.959,0,16.37,7.64,11.861,215/60R16,0.577499956,46,12.089,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,23,-24,Not Applicable,7,6.5,500,168.272,157.029,16,127.27,38.691,654,226.719,210,416.131,31.19,2.518,3,7.4,7.888,60,0,15.27,6.803,14.328,215/60R16,0.561355687,47,11.243,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,23,-26,Not Applicable,5.5,5,400,131.904,120.476,14,101.45,29.701,552,179.951,210,331.494,30,1.002,2.113,6,5.998,49.038,0,12.93,6.056,12.878,165/60R14,0.56376458,49,11.428,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,25,-24,Not Applicable,7,6.5,500,163.46,152.754,16,130.88,61.567,662,226.713,210,425.095,43.904,1.933,3.5,6.649,7.751,59.304,0,14.63,0,4.375,215/60R16,0.577293759,49,10.706,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,24,-23,Not Applicable,6,5,300,136.047,124.146,15,108.1,31.5,589.96,189.977,180,341.833,30.546,1.805,1.5,9.9,8.374,53.525,0,16.78,7.929,15.229,175/60R15,0.569016249,47,11.901,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
